Date,Magasin,Objet,Montant,Catégorie,Remarque,,Roupie à 47
11/01/23,Loyer Toulouse,novembre,"-61,100.00",Toulouse,FRANCE,,
11/01/23,Emprunt Toulouse,novembre,"64,280.49",Toulouse,FRANCE,,
11/01/23,CAF,novembre,"-6,673.53",Toulouse,FRANCE,,
11/01/23,West Cost Sea food,Crevettes,"1,650.00",Alimentation,,,
11/03/23,SuperU,Alimentation,"2,293.28",Alimentation,,,
11/03/23,Saint Aubin,Visite,"1,750.00",Loisirs,,,
11/03/23,Catamaran,Grand baie,"13,000.00",Loisirs,,,
09/04/23,OVH,novembre,310.20,SASU,,,
09/04/23,BNP,novembre,"2,058.60",SASU,,,
11/04/23,Bazar Port Louis,Djembé,"1,500.00",GK,,,
11/06/23,London,Alimentation,730.81,Alimentation,,,
11/06/23,West Cost Sea food,Crevettes,964.08,Alimentation,,,
11/06/23,KazAPain,Baguettes + saucisse,531.00,Alimentation,,,
11/06/23,Tour Martello,Visite,450.00,Loisirs,,,
11/06/23,Caudan Water Front,Parking,80.00,Transport,,,
11/06/23,Proper Petrol,Essence,"1,380.00",Transport,,,
11/05/23,SuperU,Alimentation,"4,433.95",Alimentation,Cadeau Thomas Morissimo Rs 1 800,,
11/06/23,London,Alimentation,"2,610.50",Alimentation,,,
11/06/23,Paul et Virginie,novembre,"30,368.00",Scolarité,,,
11/06/23,La Poste,Envoi documents SASU,"1,078.00",SASU,,,
11/06/23,Star Service,Essence,"2,000.00",Transport,,,
11/06/23,Morgane LOQUY,Orthophoniste,"1,100.00",Médical,,,
11/07/23,Paul et Virginie,Photos de classe,"1,200.00",Scolarité,,,
11/07/23,Purnima,Massage LK,"1,000.00",LK,,,
11/08/23,Agribio,Légumes bio,506.00,Alimentation,,,
11/09/23,Woolworths,Vêtements LK,"2,550.00",LK,,,
11/09/23,Winners,Alimentation,517.80,Alimentation,,,
11/09/23,Neil Cheung Kum,Réparation four,800.00,Loyer,,,
11/10/23,Aqua & Farine,Restaurant Momplé,"2,400.00",Loisirs,,,
11/11/23,Free,Forfait mobile PYK,337.93,Communication,FRANCE,,
11/11/23,London,Alimentation,"1,677.05",Alimentation,,,
11/11/23,Beau songe,Fruits,"1,200.00",Alimentation,,,
11/13/23,Morgane LOQUY,Orthophoniste,"1,100.00",Médical,,,
11/13/23,Andrew FISCHER,Kabrel,"2,000.00",Loisirs,,,
11/13/23,Votre Pote age,Fruits,272.16,Alimentation,,,
11/13/23,La vie claire,Alimentation,"1,190.00",Alimentation,,,
11/13/23,KazAPain,Alimentation,199.00,Alimentation,,,
11/14/23,SuperU,Alimentation,"8,742.36",Alimentation,,,
11/15/23,Philippe JOURNADE,Osthéopathe,"1,500.00",Médical,,,
11/15/23,Impôts,novembre,564.00,Toulouse,FRANCE,,
11/15/23,Agribio,Légumes bio,"1,319.00",Alimentation,,,
11/15/23,Mokaray,Soirée indienne,"1,800.00",Loisirs,,,
11/15/23,Mokaray,Livres occasion,118.00,LK,,,
11/16/23,Shibani trading,Huile d'olive,"2,800.00",Alimentation,,,
11/17/23,Tamarina,Soirée Cabrel,"3,300.00",Loisirs,,,
11/17/23,Mauritius Telecom,Forfait fixe Novembre,96.00,Communication,,,
11/18/23,KazAPain,Alimentation,"1,547.00",Alimentation,,,
11/20/23,SuperU,Alimentation,"5,332.69",Alimentation,,,
11/20/23,Morgane LOQUY,Orthophoniste,"1,100.00",Médical,,,
11/20/23,Proper Petrol,Essence,"2,580.60",Transport,,,
11/20/23,My.T,Consommation mobile,900.00,Communication,,,
11/21/23,Internet,novembre,"1,090.00",Communication,,,
11/21/23,SuperU,Alimentation,"1,399.45",Alimentation,,,
11/24/23,NuZwé,Soirée Beat Boxing,700.00,Loisirs,,,
11/25/23,Gopaul Heena Miss,Sirops de fruit,500.00,Alimentation,,,
11/25/23,Regards Style LTD,Tee shirt PY,270.00,PYK,,,
11/25/23,Marie Kelly Somauroo,Savon + Shampoing,530.00,Alimentation,,,
11/25/23,SuperU,Alimentation,269.00,Alimentation,,,
11/25/23,Cinéma en plein air,Gaufres,400.00,Loisirs,,,
11/25/23,Impôts,novembre,"6,909.00",Toulouse,FRANCE,,
11/26/23,Casela,Glace,270.00,Loisirs,,,
11/26/23,Leetchis,Alimentation,250.00,Alimentation,,,
11/26/23,Beachcomber,Cantine Gabriel,"1,190.00",Scolarité,,,
11/26/23,Beachcomber,Cantine Thomas,"1,120.00",Scolarité,,,
11/27/23,Morgane LOQUY,Orthophoniste,"1,100.00",Médical,,,
11/27/23,Otayo,Blakkayo,"1,020.00",Loisirs,,,
11/27/23,La P'tite Ferme,Accompte séjour,"2,500.00",Cadeau,,,
11/28/23,SuperU,Alimentation,"9,984.71",Alimentation,,,
11/28/23,Purnima,Massage LK,"1,000.00",LK,,,
11/29/23,Agribio,Légumes bio,668.00,Alimentation,,,
11/30/23,Van,Sortie Gris Gris,700.00,Loisirs,,,
11/30/23,Lodge d'Andrea,Drink,550.00,Loisirs,,,
11/30/23,Livres occasion,Gabriel,200.00,Cadeau,,,
11/30/23,Manoj,novembre,"1,500.00",Maison,,,
11/30/23,Patricia,novembre,"1,500.00",Maison,,,
11/30/23,CEB,octobre,"1,242.00",Electricité,,,
11/30/23,Laetitia JULIEN,Psychomotricienne,"3,800.00",Médical,,,
,,,,,,,
,,,,,,,
,,,"154,107.13",,,,
