mnc,year,empty,sector,upe_code,upe_name,upe_region,upe_tax_haven,upe_lat,upe_lon,upe_fj,jur_code,jur_name,jur_region,jur_tax_haven,jur_lat,jur_lon,profit_before_tax,tax_accrued,tax_paid,employees,unrelated_revenues,related_revenues,stated_capital,accumulated_earnings,tangible_assets,total_revenues,currency
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,AUS,Australia,Asia,FALSE,-27,133,-1165702000,NA,117455000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,UPE,ESP,Spain,Europe,FALSE,40,-4,546727000,NA,-154410000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,USA,United States of America,North America,FALSE,38,-97,65504000,NA,49474000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,DEU,Germany,Europe,FALSE,51,9,-74849000,NA,3533000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,MEX,Mexico,North America,FALSE,23,-102,49638000,NA,27842000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,IDN,Indonesia,Asia,FALSE,-5,120,252258000,NA,73399000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,PER,Peru,South America,FALSE,-10,-76,58092000,NA,23141000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,BRA,Brazil,South America,FALSE,-10,-55,157964000,NA,22475000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,GBR,United Kingdom,Europe,FALSE,54,-2,16738000,NA,-2420000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,CAN,Canada,North America,FALSE,60,-95,90282000,NA,-2242000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,CHL,Chile,South America,FALSE,-30,-71,-21959000,NA,2509000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,PRT,Portugal,Europe,FALSE,39.5,-8,10382000,NA,3145000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,SGP,Singapore,Asia,TRUE,1.3667,103.8,-24528000,NA,18100000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,ARG,Argentina,South America,FALSE,-34,-64,7917000,NA,596000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,IND,India,Asia,FALSE,20,77,6205000,NA,1103000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,NZL,New Zealand,Asia,FALSE,-41,174,30286000,NA,13000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,PHL,Philippines,Asia,FALSE,13,122,10134000,NA,2024000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,HKG,Hong Kong,Asia,TRUE,22.25,114.1667,95268000,NA,8376000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,MNG,Mongolia,Asia,FALSE,46,105,25609000,NA,3811000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,BWA,Botswana,Africa,FALSE,-22,24,34246000,NA,2321000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,PAN,Panama,North America,TRUE,9,-80,10118000,NA,661000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,SAU,Saudi Arabia,Asia,FALSE,25,45,28693000,NA,1093000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,LUX,Luxembourg,Europe,TRUE,49.75,6.1667,33354000,NA,23000,NA,NA,NA,NA,NA,NA,NA,EUR
ACS,2019,FALSE,Construction,ESP,Spain,Europe,FALSE,40,-4,FJ,OTHER,Other,NA,FALSE,NA,NA,-111020000,NA,6141000,NA,NA,NA,NA,NA,NA,NA,EUR
AKER SOLUTIONS,2019,FALSE,Business Services,NOR,Norway,Europe,FALSE,62,10,UPE,NOR,Norway,Europe,FALSE,62,10,NA,NA,0,6019,NA,NA,NA,NA,NA,1841418724.812457,EUR
AKER SOLUTIONS,2019,FALSE,Business Services,NOR,Norway,Europe,FALSE,62,10,FJ,BRA,Brazil,South America,FALSE,-10,-55,NA,NA,406046.02531696967,5346,NA,NA,NA,NA,NA,222513221.87369937,EUR
AKER SOLUTIONS,2019,FALSE,Business Services,NOR,Norway,Europe,FALSE,62,10,FJ,GBR,United Kingdom,Europe,FALSE,54,-2,NA,NA,3857437.240511211,1365,NA,NA,NA,NA,NA,505222767.0006395,EUR
AKER SOLUTIONS,2019,FALSE,Business Services,NOR,Norway,Europe,FALSE,62,10,FJ,IND,India,Asia,FALSE,20,77,NA,NA,2131741.6329140905,1286,NA,NA,NA,NA,NA,51567845.21525515,EUR
AKER SOLUTIONS,2019,FALSE,Business Services,NOR,Norway,Europe,FALSE,62,10,FJ,MYS,Malaysia,Asia,FALSE,2.5,112.5,NA,NA,-1928718.6202556056,829,NA,NA,NA,NA,NA,289713839.0636578,EUR
AKER SOLUTIONS,2019,FALSE,Business Services,NOR,Norway,Europe,FALSE,62,10,FJ,BRN,Brunei Darussalam,Asia,FALSE,4.5,114.6667,NA,NA,1624184.101267879,324,NA,NA,NA,NA,NA,81818274.10136938,EUR
AKER SOLUTIONS,2019,FALSE,Business Services,NOR,Norway,Europe,FALSE,62,10,FJ,USA,United States of America,North America,FALSE,38,-97,NA,NA,0,298,NA,NA,NA,NA,NA,145364477.06347513,EUR
AKER SOLUTIONS,2019,FALSE,Business Services,NOR,Norway,Europe,FALSE,62,10,FJ,CAN,Canada,North America,FALSE,60,-95,NA,NA,1015115.063292424,257,NA,NA,NA,NA,NA,59384231.20260681,EUR
AKER SOLUTIONS,2019,FALSE,Business Services,NOR,Norway,Europe,FALSE,62,10,FJ,AGO,Angola,Africa,FALSE,-12.5,18.5,NA,NA,9339058.5822903,152,NA,NA,NA,NA,NA,105774989.5950706,EUR
AKER SOLUTIONS,2019,FALSE,Business Services,NOR,Norway,Europe,FALSE,62,10,FJ,AUS,Australia,Asia,FALSE,-27,133,NA,NA,0,29,NA,NA,NA,NA,NA,3349879.7088649995,EUR
AKER SOLUTIONS,2019,FALSE,Business Services,NOR,Norway,Europe,FALSE,62,10,FJ,COG,Congo,Africa,FALSE,-1,15,NA,NA,1522672.5949386363,24,NA,NA,NA,NA,NA,8831501.05064409,EUR
AKER SOLUTIONS,2019,FALSE,Business Services,NOR,Norway,Europe,FALSE,62,10,FJ,CYP,Cyprus,Asia,TRUE,35,33,NA,NA,0,3,NA,NA,NA,NA,NA,14008587.873435453,EUR
AKER SOLUTIONS,2019,FALSE,Business Services,NOR,Norway,Europe,FALSE,62,10,FJ,OTHER,Other,NA,FALSE,NA,NA,NA,NA,609069.0379754545,24,NA,NA,NA,NA,NA,12790449.797484543,EUR
ALLIANZ,2019,FALSE,"Banking, Insurance & Financial Services",DEU,Germany,Europe,FALSE,51,9,FJ,USA,United States of America,North America,FALSE,38,-97,3060400000,NA,535200000.00000006,NA,NA,NA,NA,NA,NA,NA,EUR
ALLIANZ,2019,FALSE,"Banking, Insurance & Financial Services",DEU,Germany,Europe,FALSE,51,9,UPE,DEU,Germany,Europe,FALSE,51,9,1743600000,NA,81900000,NA,NA,NA,NA,NA,NA,NA,EUR
ALLIANZ,2019,FALSE,"Banking, Insurance & Financial Services",DEU,Germany,Europe,FALSE,51,9,FJ,FRA,France,Europe,FALSE,46,2,1217200000,NA,325900000,NA,NA,NA,NA,NA,NA,NA,EUR
ALLIANZ,2019,FALSE,"Banking, Insurance & Financial Services",DEU,Germany,Europe,FALSE,51,9,FJ,ITA,Italy,Europe,FALSE,42.8333,12.8333,1055400000,NA,283000000,NA,NA,NA,NA,NA,NA,NA,EUR
ALLIANZ,2019,FALSE,"Banking, Insurance & Financial Services",DEU,Germany,Europe,FALSE,51,9,FJ,CHE,Switzerland,Europe,TRUE,47,8,533200000.00000006,NA,109700000,NA,NA,NA,NA,NA,NA,NA,EUR
