Date,Magasin,Objet,Montant,Catégorie,Remarque,,Roupie à 47
08/21/23,Paul et Virginie,Activités extra scolaire,"14,750.00",Scolarité,,,
08/21/23,Paul et Virginie,Uniformes,"2,550.00",Scolarité,,,
08/21/23,Brocker,Cocasse,"15,837.00",Cocasse,,,
08/23/23,DutyFree,Cigarette,"3,384.00",PYK,,,
08/24/23,My.T,Consommation mobile,300.00,Communication,,,
08/25/23,Boursorama,Frais bancaire,940.00,Toulouse,FRANCE,,
08/25/23,Beachcomber,Cantine Gabriel,"2,485.00",Scolarité,,,
08/25/23,Beachcomber,Cantine Thomas,"2,450.00",Scolarité,,,
08/25/23,HobbyWorld,Fournitures scolaires,"2,212.00",Scolarité,,,
08/25/23,SuperU,Divers,51.00,Loyer,,,
08/25/23,SuperU,Nourriture,"5,765.86",Alimentation,,,
08/26/23,Atmaram,Quincaillerie,670.00,Loyer,,,
08/26/23,London,Ménage + Gaz,320.00,Loyer,,,
08/26/23,London,Alimentation,800.35,Alimentation,,,
08/27/23,Jumbo,Divers,"2,160.00",Loyer,,,
08/27/23,Jumbo,Alimentation,"1,558.95",Alimentation,,,
08/27/23,SuperU,Cartable Gabriel,"2,240.00",Scolarité,,,
08/27/23,SuperU,Alimentation,446.00,Alimentation,,,
08/28/23,London,Alimentation,"1,120.35",Alimentation,,,
08/29/23,Tamarin Pharmacy,Divers,841.00,Médical,,,
08/30/23,Jumbo,Divers,"1,391.00",Loyer,,,
08/30/23,Jumbo,Alimentation,"7,422.95",Alimentation,,,
08/30/23,Agribio,Légumes bio,902.00,Alimentation,,,
08/30/23,Agribio,Conserves,360.00,Alimentation,,,
08/30/23,361,Cocotte minute,"1,990.00",Loyer,,,
08/31/23,Monique KOENIG,Livres + courses,"5,556.50",Scolarité,,,
09/01/23,SuperU,Divers,46.20,Loyer,,,
09/01/23,SuperU,Alimentation,"1,178.33",Alimentation,,,
09/01/23,Loyer Toulouse,septembre,"-61,100.00",Toulouse,FRANCE,,
09/01/23,Emprunt Toulouse,septembre,"64,280.49",Toulouse,FRANCE,,
09/01/23,CAF,septembre,"-6,673.53",Toulouse,FRANCE,,
09/04/23,OVH,septembre,310.20,SASU,,,
09/04/23,BNP,septembre,"3,237.36",SASU,,,
09/04/23,Monique KOENIG,London divers,"8,288.50",Alimentation,,,
09/04/23,Paul et Virginie,Frais de scolarité,"34,084.00",Scolarité,,,
09/05/23,Proper Petrol,Essence,"2,614.00",Transport,,,
09/05/23,SuperU,Divers,125.00,Loyer,,,
09/05/23,SuperU,Alimentation,"2,359.31",Alimentation,,,
09/05/23,Manjoo,Tapis de bain,250.00,Loyer,,,
09/05/23,Manjoo,Divers,470.00,Maison,,,
09/05/23,Zen Tropical,,330.00,Loisirs,,,
09/05/23,La Cosa Nostra,Pizza,"1,520.00",Loisirs,,,
09/06/23,Atmaram,Quincaillerie,975.00,Loyer,,,
09/06/23,Espace Maison,Divers,"1,333.00",Loyer,,,
09/06/23,Espace Maison,Divers,"3,801.50",Maison,,,
09/06/23,Agribio,Légumes bio,642.00,Alimentation,,,
09/06/23,Agribio,Conserves,200.00,Alimentation,,,
09/07/23,London,Alimentation,"1,804.67",Alimentation,,,
09/07/23,My.T,Consommation mobile,300.00,Communication,,,
09/08/23,La Vie Claire,Alimentation,830.00,Alimentation,,,
09/08/23,Votre pote agé,Fruits et légumes,238.02,Alimentation,,,
09/10/23,Atmaram,Quincaillerie,"1,158.00",Loyer,,,
09/11/23,SuperU,Alimentation,"4,132.55",Alimentation,,,
09/11/23,Dany plombier,Fuite robinet TK,"1,700.00",Loyer,,,
09/12/23,Free,Forfait mobile LK,239.52,Communication,FRANCE,,
09/12/23,Tamarin Accueil,Adhésion association,500.00,Loisirs,,,
09/12/23,Purnima,Massage LK,"1,000.00",LK,,,
09/12/23,Copyquick,Papier + cartouche,"2,025.00",SASU,,,
09/12/23,Point Gourmand,Gâteau,170.00,Loisirs,,,
09/12/23,London,Cantine,420.00,Loisirs,,,
09/13/23,London,Photo passeport,135.00,PYK,,,
09/13/23,Dany plombier,Fuite robinet TK,250.00,Loyer,,,
