Date,Magasin,Objet,Montant,Catégorie,Remarque,,Roupie à 48
01/01/24,Loyer Toulouse,janvier,"-62,400.00",Toulouse,FRANCE,,
01/01/24,Emprunt Toulouse,janvier,"65,648.16",Toulouse,FRANCE,,
01/01/24,CAF,janvier,"-6,815.52",Toulouse,FRANCE,,
01/01/24,Pains et Moulins,Pains Noël,300.00,Alimentation,,,
01/03/24,Mathieu opticien,Spray,175.00,Maison,,,
01/03/24,SuperU,Alimentation,"1,883.40",Alimentation,,,
01/03/24,Engen,Essence,500.00,Transport,,,
01/03/24,Beachcomber,Cantine Gabriel,"1,575.00",Scolarité,,,
01/03/24,Beachcomber,Cantine Thomas,"1,610.00",Scolarité,,,
03/04/24,Tejo,Légumes bio,"1,763.05",Alimentation,,,
01/05/24,London,Alimentation,"2,607.30",Alimentation,,,
01/05/24,Kaz à pain,Alimentation,975.00,Alimentation,,,
01/06/24,Jumbo,Alimentation,462.00,Alimentation,,,
01/06/24,Robe,LK,200.00,LK,,,
01/06/24,Beau songe,Fruit,370.00,Alimentation,,,
01/07/24,London,Alimentation,133.40,Alimentation,,,
01/07/24,Kaz à pain,Alimentation,0.00,Alimentation,,,
01/07/24,Google,Charlie et la chocolaterie,143.52,Loisirs,FRANCE,,
01/09/24,My.T,Consommation mobile,600.00,Communication,,,
01/09/24,Pains et Moulins,Alimentation,85.00,Alimentation,,,
01/09/24,Total,Essence,"1,886.71",Transport,,,
01/10/24,Free,Forfait mobile PYK,117.12,Communication,FRANCE,,
01/10/24,Kaz à pain,Galette des rois,982.00,Alimentation,,,
01/10/24,Morgane LOQUY,Orthophoniste,"1,100.00",Médical,,,
01/10/24,Paul et Virginie,janvier,"30,368.00",Scolarité,,,
01/10/24,César Tierz,EMDR Laetitia,"4,500.00",Médical,,,
01/10/24,Internet,janvier,"1,045.00",Communication,,,
01/11/24,Moustache,Restau Béatrice,"2,040.00",Loisirs,,,
01/12/24,London,cigarettes,885.00,PYK,,,
01/15/24,SuperU,Alimentation,"2,594.85",Alimentation,,,
01/15/24,Impôts,décembre,576.00,Toulouse,FRANCE,,
01/15/24,Morgane LOQUY,Orthophoniste,"1,100.00",Médical,,,
01/17/24,Mauritius Telecom,Forfait fixe Janvier,96.00,Communication,,,
01/18/24,César Tierz,EMDR Laetitia,"6,000.00",Médical,,,
01/18/24,WoolWorths,Robe « soie »,770.00,LK,,,
01/18/24,Bistrot Marius,Restau Cascavelle,"1,565.00",Loisirs,,,
01/18/24,WoolWorths,Sortie plage,"1,100.00",LK,,,
01/22/24,London,cigarettes,"3,430.00",PYK,2 bouteilles de gaz,,
01/22/24,Pains et Moulins,Alimentation,85.00,Alimentation,,,
01/22/24,Citadel,Short TK,449.00,TK,,,
01/22/24,Agribio,Légumes bio,680.00,Alimentation,,,
01/22/24,SuperU,Alimentation,"7,116.19",Alimentation,,,
01/22/24,London,Monique,"2,126.00",Cadeau,,,
01/22/24,Vanilla Café,Annif Monique,"2,800.00",Loisirs,,,
01/22/24,Paul et Virginie,Activités extra scolaire,"4,000.00",Scolarité,,,
01/22/24,Paul et Virginie,Activités extra scolaire,"3,500.00",Scolarité,,,
01/22/24,Paul et Virginie,Activités extra scolaire,"4,000.00",Scolarité,,,
01/22/24,Paul et Virginie,Activités extra scolaire,"3,500.00",Scolarité,,,
01/22/24,Pains et Moulins,Alimentation,550.00,Alimentation,,,
01/22/24,Pharmacie Tamarin,Doliprane,130.86,Médical,,,
01/22/24,Morgane LOQUY,Orthophoniste,"1,100.00",Médical,,,
01/22/24,César Tierz,EMDR Laetitia,"3,000.00",Médical,,,
01/22/24,Beachcomber,Cantine Gabriel,"1,120.00",Scolarité,,,
01/22/24,Beachcomber,Cantine Thomas,"1,085.00",Scolarité,,,
01/26/24,London,Alimentation,802.06,Alimentation,,,
01/26/24,Décathlon,Rollers,"1,900.00",TK,,,
01/26/24,London,Alimentation,473.48,Alimentation,,,
01/26/24,SuperU,Alimentation,"4,863.28",Alimentation,,,
01/27/24,Engen,Essence,"2,400.00",Transport,,,
01/27/24,Parking,Port Louis,80.00,Transport,,,
01/27/24,Bazar,Farata,180.00,Loisirs,,,
01/27/24,Bazar,Aluda,175.00,Loisirs,,,
01/27/24,Beau songe,Fruit,800.00,Alimentation,,,
01/27/24,Eureka,Visite maison coloniale,900.00,Loisirs,,,
01/27/24,Eureka,Drink,475.00,Loisirs,,,
01/27/24,Pains et Moulins,Alimentation,260.00,Alimentation,,,
01/27/24,Kaz à pain,Alimentation,722.75,Alimentation,,,
01/28/24,Chez Rosy,Resto,"3,255.00",Loisirs,,,
